"BOROCODE","City, State, Zip ","ORIGINAL MARKET VALUE","Borough","Postcode","Latitude","Longitude","NTA"
"1","NEW YORK             NY 10002-3504","2298000","MANHATTAN","10002","40.717979","-73.982666","Lower East Side                                                            "
"1","FALLS VILLAGE        CT 06031-1618","4799000",,,,,
"1","NEW YORK             NY 10014-1912","9828000","MANHATTAN","10014","40.737605","-74.002746","West Village                                                               "
"1","SUMMIT               NJ 07901-2954","14102000",,,,,
"1","NEW YORK             NY 10010-1133","7076000","MANHATTAN","10010","40.743827","-73.987907","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"1","NEW YORK             NY 10001-3508","10537000","MANHATTAN","10001","40.74834","-73.98883","Midtown-Midtown South                                                      "
"1","NEW YORK             NY 10016-7319","16514000","MANHATTAN","10016","40.7437","-73.981155","Murray Hill-Kips Bay                                                       "
"1","NEW YORK             NY 10023-2138","12609000","MANHATTAN","10023","40.780408","-73.982076","Lincoln Square                                                             "
"1","NEW YORK             NY 10023     ","15807000","MANHATTAN","10023","40.777742","-73.975509","Lincoln Square                                                             "
"1","NEW YORK             NY 10023-6556","279851","MANHATTAN","10023","40.774428","-73.98354","Lincoln Square                                                             "
"1","NEW YORK             NY 10023-6557","221071","MANHATTAN","10023","40.774428","-73.98354","Lincoln Square                                                             "
"1","NEW YORK             NY 10023-6559","223519","MANHATTAN","10023","40.774428","-73.98354","Lincoln Square                                                             "
"1","                                  ","344561",,,,,
"1","NEW HOPE             PA 18938-9243","226484",,,,,
"1","POUGHKEEPSIE         NY 12603-6507","172474",,,,,
"1","STAMFORD             CT 06905-3006","279851",,,,,
"1","NEW YORK             NY 10023-6564","490737","MANHATTAN","10023","40.774428","-73.98354","Lincoln Square                                                             "
"1","PORT JEFFERSON       NY 11777-1463","490737",,,,,
"1","WILTON               CT 06897-1304","490737",,,,,
"1","NEW YORK             NY 10025-6604","5000000","MANHATTAN","10025","40.792614","-73.969057","Upper West Side                                                            "
"1","NEW YORK             NY 10065-8029","25518000","MANHATTAN","10065","40.764613","-73.97024","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10156-1024","11981000","MANHATTAN","10016","40.74676","-73.980551","Murray Hill-Kips Bay                                                       "
"1","NEW YORK             NY 10065-7605","7286000","MANHATTAN","10065","40.763818","-73.966107","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10065-7685","8507000","MANHATTAN","10065","40.763175","-73.964584","Lenox Hill-Roosevelt Island                                                "
"1","NEW YORK             NY 10065-7705","4655000","MANHATTAN","10065","40.761887","-73.961527","Lenox Hill-Roosevelt Island                                                "
"1","SETAUKET             NY 11733-1507","13362000",,,,,
"1","BEDFORD              NY 10506-1915","5800000",,,,,
"1","NEW YORK             NY 10005-3209","9000000","MANHATTAN","10005","40.705634","-74.009378","Battery Park City-Lower Manhattan                                          "
"1","NEW YORK             NY 83025     ","80751","MANHATTAN","10035","40.809485","-73.940006","Central Harlem North-Polo Grounds                                          "
"1","NEW YORK             NY 10035-1036","64678","MANHATTAN","10035","40.809485","-73.940006","Central Harlem North-Polo Grounds                                          "
"1","MONTCLAIR            NJ 07042-1915","66364",,,,,
"1","NEW YORK             NY 10035-1027","80687","MANHATTAN","10035","40.809485","-73.940006","Central Harlem North-Polo Grounds                                          "
"1","NEW YORK             NY 10025-4973","1400000","MANHATTAN","10025","40.798175","-73.970228","Upper West Side                                                            "
"1","NEW YORK             NY 10027-6545","174057","MANHATTAN","10027","40.805828","-73.948786","Central Harlem South                                                       "
"1","NEW YORK             NY 10027-6545","92950","MANHATTAN","10027","40.805828","-73.948786","Central Harlem South                                                       "
"1","NEW YORK             NY 10027-6545","91873","MANHATTAN","10027","40.805828","-73.948786","Central Harlem South                                                       "
"1","NEW YORK             NY 10128-3453","1312000","MANHATTAN","10128","40.781476","-73.952044","Yorkville                                                                  "
"1","NEW YORK             NY 10030     ","433641","MANHATTAN","10030","40.819852","-73.945892","Central Harlem North-Polo Grounds                                          "
"1","NEW YORK             NY 10030     ","433641","MANHATTAN","10030","40.819852","-73.945892","Central Harlem North-Polo Grounds                                          "
"1","BROOKLYN             NY 11206-4931","1289000",,,,,
"2","NEW YORK             NY 10007-2544","1076000",,,,,
"2","BRONX                NY 10451-6202","253000","BRONX    ","10451","40.815336","-73.924531","Mott Haven-Port Morris                                                     "
"2","FREEPORT             NY 11520     ","222000",,,,,
"2","MOUNT VERNON         NY 10550     ","684000",,,,,
"2","PORT CHESTER         NY 10573-3136","273000",,,,,
"2","BRONX                NY 10473-2307","227000","BRONX    ","10473","40.810529","-73.850279","Soundview-Castle Hill-Clason Point-Harding Park                            "
"2","BRONX                NY 10473-2625","246000","BRONX    ","10473","40.815768","-73.856065","Soundview-Castle Hill-Clason Point-Harding Park                            "
"2","BRONX                NY 10472-1913","417000","BRONX    ","10472","40.834077","-73.866516","West Farms-Bronx River                                                     "
"2","BRONX                NY 10469-5906","566000","BRONX    ","10469","40.864296","-73.842887","Allerton-Pelham Gardens                                                    "
"2","BRONX                NY 10469-3264","476000","BRONX    ","10469","40.869889","-73.835845","Co-op City                                                                 "
"2","SCARSDALE            NY 10583-1804","872000",,,,,
"2","BRONX                NY 10464-1103","317000","BRONX    ","10464","40.853778","-73.790309","Pelham Bay-Country Club-City Island                                        "
"3","BROOKLYN             NY 11217-2254","1019000","BROOKLYN ","11217","40.686714","-73.98773","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
